"pattern","rank","gene","weight"
"Pattern7",29,"FCER1G",3.24706411361694
"Pattern7",30,"S100A10",3.24233794212341
"Pattern7",31,"TNFSF13B",3.21797299385071
"Pattern7",32,"OAS1",3.15748929977417
"Pattern7",33,"EMP3",3.1415376663208
"Pattern7",34,"BST2",2.9960949420929
"Pattern7",35,"IRF7",2.98296141624451
"Pattern7",36,"MX1",2.92247200012207
"Pattern7",37,"IL1RN",2.90252351760864
"Pattern7",38,"CLIC1",2.8735671043396
"Pattern7",39,"ANXA2",2.65503287315369
"Pattern7",40,"GBP1",2.58813333511353
"Pattern7",41,"CTSB",2.54957509040833
"Pattern7",42,"NPC2",2.49669218063354
"Pattern7",43,"SDCBP",2.47319173812866
"Pattern7",44,"HSPA1A",2.43255996704102
"Pattern7",45,"OASL",2.31418061256409
"Pattern7",46,"TXN",2.28118371963501
"Pattern7",47,"GSTO1",2.26491093635559
"Pattern7",48,"LGALS1",2.24849677085876
"Pattern7",49,"LGALS3",2.17966079711914
"Pattern7",50,"HSP90AA1",2.15256881713867
